Experiment,Colony,Location,Treatment,Temp,Sed,Chamber,Day,Time,rsq,mo2
1,3,NB,C,C,C,3,Day2,49,0.745,0.736276286
1,3,NB,C,C,C,3,Day2,50,0.718,0.698099054
1,4,NB,C,C,C,4,Day2,1,0.135,0.145004907
1,4,NB,C,C,C,4,Day2,2,0.146,0.085980218
1,4,NB,C,C,C,4,Day2,3,0.4,0.166483079
1,4,NB,C,C,C,4,Day2,4,0.42,0.165738869
1,4,NB,C,C,C,4,Day2,5,0.696,0.539812497
1,4,NB,C,C,C,4,Day2,6,0.117,0.064872427
1,4,NB,C,C,C,4,Day2,7,0.679,-0.286244378
1,4,NB,C,C,C,4,Day2,8,0.447,-0.180250269
1,4,NB,C,C,C,4,Day2,9,0.402,-0.194986372
1,4,NB,C,C,C,4,Day2,10,0.296,-0.135768024
1,4,NB,C,C,C,4,Day2,11,0.376,-0.168369699
1,4,NB,C,C,C,4,Day2,12,0.604,-0.368755843
1,4,NB,C,C,C,4,Day2,13,0.711,-0.311696978
1,4,NB,C,C,C,4,Day2,14,0.497,-0.201399736
1,4,NB,C,C,C,4,Day2,15,0.00102,-0.007556717
1,4,NB,C,C,C,4,Day2,16,0.00755,0.019241994
1,4,NB,C,C,C,4,Day2,17,0.118,0.085265606
1,4,NB,C,C,C,4,Day2,18,0.0993,0.070501912
1,4,NB,C,C,C,4,Day2,19,0.286,-0.134427862
1,4,NB,C,C,C,4,Day2,20,0.654,0.258933872
1,4,NB,C,C,C,4,Day2,21,0.167,0.130329884
1,4,NB,C,C,C,4,Day2,22,0.711,0.289009073
1,4,NB,C,C,C,4,Day2,23,0.372,0.174900091
1,4,NB,C,C,C,4,Day2,24,0.516,0.195995294
1,4,NB,C,C,C,4,Day2,25,0.906,0.684994312
1,4,NB,C,C,C,4,Day2,26,0.787,0.431294082
1,4,NB,C,C,C,4,Day2,27,0.903,0.711479171
1,4,NB,C,C,C,4,Day2,28,0.909,0.623310422
1,4,NB,C,C,C,4,Day2,29,0.902,0.664588743
1,4,NB,C,C,C,4,Day2,30,0.886,0.593648734
1,4,NB,C,C,C,4,Day2,31,0.951,0.78905018
1,4,NB,C,C,C,4,Day2,32,0.939,0.707409087
1,4,NB,C,C,C,4,Day2,33,0.886,0.597551829
1,4,NB,C,C,C,4,Day2,34,0.89,0.607849467
1,4,NB,C,C,C,4,Day2,35,0.899,0.565811771
1,4,NB,C,C,C,4,Day2,36,0.863,0.528152565
1,4,NB,C,C,C,4,Day2,37,0.73,0.344012198
1,4,NB,C,C,C,4,Day2,38,0.794,0.372563399
1,4,NB,C,C,C,4,Day2,39,0.33,0.157099578
1,4,NB,C,C,C,4,Day2,40,0.215,0.106924971
1,4,NB,C,C,C,4,Day2,41,0.594,0.2520566
1,4,NB,C,C,C,4,Day2,42,0.732,0.316266902
1,4,NB,C,C,C,4,Day2,43,0.408,0.160231533
1,4,NB,C,C,C,4,Day2,44,0.436,0.178277363
1,4,NB,C,C,C,4,Day2,45,0.709,0.285713746
1,4,NB,C,C,C,4,Day2,46,0.728,0.308974784
1,4,NB,C,C,C,4,Day2,47,0.641,2.550136314
1,4,NB,C,C,C,4,Day2,48,0.819,0.390991781
1,4,NB,C,C,C,4,Day2,49,0.786,0.325891986
1,4,NB,C,C,C,4,Day2,50,0.728,0.299664287
2,5,SB,C,C,C,1,Day2,1,0.409,0.134787752
2,5,SB,C,C,C,1,Day2,2,0.333,0.110473702
2,5,SB,C,C,C,1,Day2,3,0.211,0.083356029
2,5,SB,C,C,C,1,Day2,4,0.409,0.131150768
2,5,SB,C,C,C,1,Day2,5,0.589,0.195482577
2,5,SB,C,C,C,1,Day2,6,0.685,0.236770523
2,5,SB,C,C,C,1,Day2,7,0.732,0.285383637
2,5,SB,C,C,C,1,Day2,8,0.875,0.444731877
2,5,SB,C,C,C,1,Day2,9,0.84,0.387518219
2,5,SB,C,C,C,1,Day2,10,0.928,0.560665435
2,5,SB,C,C,C,1,Day2,11,0.872,0.469414546
2,5,SB,C,C,C,1,Day2,12,0.913,0.510792711
2,5,SB,C,C,C,1,Day2,13,0.908,0.565295946
2,5,SB,C,C,C,1,Day2,14,0.95,0.720737558
2,5,SB,C,C,C,1,Day2,15,0.963,0.88174676
2,5,SB,C,C,C,1,Day2,16,0.965,0.958483856
2,5,SB,C,C,C,1,Day2,17,0.972,1.026583769
2,5,SB,C,C,C,1,Day2,18,0.977,1.055166415
2,5,SB,C,C,C,1,Day2,19,0.958,0.895468726
2,5,SB,C,C,C,1,Day2,20,0.967,0.949696788
2,5,SB,C,C,C,1,Day2,21,0.949,0.77539897
2,5,SB,C,C,C,1,Day2,22,0.922,0.691056191
2,5,SB,C,C,C,1,Day2,23,0.976,1.08061814
2,5,SB,C,C,C,1,Day2,24,0.977,1.179483555
2,5,SB,C,C,C,1,Day2,25,0.965,1.002060781
2,5,SB,C,C,C,1,Day2,26,0.974,1.100340244
2,5,SB,C,C,C,1,Day2,27,0.827,0.378619082
2,5,SB,C,C,C,1,Day2,28,0.828,0.380974
2,5,SB,C,C,C,1,Day2,29,0.973,0.990333787
2,5,SB,C,C,C,1,Day2,30,0.918,0.606708409
2,5,SB,C,C,C,1,Day2,31,0.976,1.19545192
2,5,SB,C,C,C,1,Day2,32,0.957,0.968400825
2,5,SB,C,C,C,1,Day2,33,0.968,1.008307821
2,5,SB,C,C,C,1,Day2,34,0.97,1.030463808
2,5,SB,C,C,C,1,Day2,35,0.94,0.714518565
2,5,SB,C,C,C,1,Day2,36,0.942,0.659527917
2,5,SB,C,C,C,1,Day2,37,0.891,0.512079086
2,5,SB,C,C,C,1,Day2,38,0.859,0.429158131
2,5,SB,C,C,C,1,Day2,39,0.859,0.414464454
2,5,SB,C,C,C,1,Day2,40,0.881,0.456091408
2,5,SB,C,C,C,1,Day2,41,0.665,-0.868582354
2,6,SB,C,C,C,2,Day2,1,0.92,1.0944137
2,6,SB,C,C,C,2,Day2,2,0.271,0.192382544
2,6,SB,C,C,C,2,Day2,3,0.812,0.65185322
2,6,SB,C,C,C,2,Day2,4,0.815,0.712016244
2,6,SB,C,C,C,2,Day2,5,0.761,0.546871204
2,6,SB,C,C,C,2,Day2,6,0.756,0.597992903
2,6,SB,C,C,C,2,Day2,7,0.836,0.78599455
2,6,SB,C,C,C,2,Day2,8,0.688,0.512101022
2,6,SB,C,C,C,2,Day2,9,0.698,0.44190677
2,6,SB,C,C,C,2,Day2,10,0.709,0.46408763
2,6,SB,C,C,C,2,Day2,11,0.69,0.561973109
2,6,SB,C,C,C,2,Day2,12,0.675,0.52185751
2,6,SB,C,C,C,2,Day2,13,0.609,0.447547622
2,6,SB,C,C,C,2,Day2,14,0.609,0.406830538
