Experiment,Timepoint,Chamber,Treatment,Colony,Coral,Location,delta_FTA,Turbidity,Gnet,Gnet2,mo2_turb_avg,mo2_turb
4,20,1,C,2,8-Feb,NB,-3.5,1.08,-5.048682553,0.403894604,0.778049542,1.049007507
4,21,1,C,2,8-Feb,NB,-2.8,0.81,-4.038946042,0.323115683,0.777152298,0.681262767
4,22,1,C,2,8-Feb,NB,4,1.06,5.769922918,-0.461593833,0.446769992,0.311312514
4,23,1,C,2,8-Feb,NB,-15.8,0.88,-22.79119553,1.823295642,0.49760878,0.614488084
4,24,1,C,2,8-Feb,NB,-6.4,0.88,-9.231876668,0.738550133,0.675786924,0.709661406
5,1,1,C,1,2-Jan,NB,-6.9,0.52,-6.797633557,0.543810685,-0.097231774,-0.421773931
5,2,1,C,1,2-Jan,NB,2.3,0.57,2.265877852,-0.181270228,-0.326581874,-0.326201198
5,3,1,C,1,2-Jan,NB,-0.5,1.29,-0.492582142,0.039406571,-0.365748609,-0.352792573
5,4,1,C,1,2-Jan,NB,-9.7,1.16,-9.556093552,0.764487484,-0.352523865,-0.324465685
5,5,1,C,1,2-Jan,NB,3.2,1.9,3.152525708,-0.252202057,-0.280328215,-0.274677079
5,6,1,C,1,2-Jan,NB,1.3,1.62,1.280713569,-0.102457086,-0.337540797,-0.315943342
5,7,1,C,1,2-Jan,NB,-5.5,1.46,-5.41840356,0.433472285,-0.170373165,-0.200186668
5,8,1,C,1,2-Jan,NB,-7.1,1.38,-6.994666414,0.559573313,-0.199197049,-0.16982546
5,9,1,C,1,2-Jan,NB,-0.8,0.93,-0.788131427,0.063050514,-0.19555704,-0.209053811
5,10,1,C,1,2-Jan,NB,9,1.31,8.866478553,-0.709318284,-0.329786808,-0.318684554
5,11,1,C,1,2-Jan,NB,52.1,1.06,51.32705918,-4.106164734,-0.224935656,-0.2102222
5,12,1,C,1,2-Jan,NB,10.3,1.12,10.14719212,-0.81177537,-0.24854564,-0.18591971
5,13,1,C,1,2-Jan,NB,-4.4,0.98,-4.334722848,0.346777828,-0.22521032,-0.260604784
5,14,1,C,1,2-Jan,NB,1.6,1.06,1.576262854,-0.126101028,-0.234444189,-0.21161578
5,15,1,C,1,2-Jan,NB,1.5,1.13,1.477746425,-0.118219714,-0.252583668,-0.262017639
5,16,1,C,1,2-Jan,NB,4.1,1.06,4.039173563,-0.323133885,-0.233475043,-0.228800986
5,17,1,C,1,2-Jan,NB,-9.9,3.53,-9.753126408,0.780250113,-0.331638042,-0.357781883
5,18,1,C,1,2-Jan,NB,-0.1,0.8,-0.098516428,0.007881314,-0.266002761,-0.332302731
5,19,1,C,1,2-Jan,NB,0.7,1.05,0.689614999,-0.0551692,-0.349534543,-0.360689503
5,20,1,C,1,2-Jan,NB,-8.2,1.32,-8.078347126,0.64626777,-0.125323361,-0.148813243
5,21,1,C,1,2-Jan,NB,4.8,0.89,4.728788562,-0.378303085,-0.221998958,-0.211040007
5,22,1,C,1,2-Jan,NB,2.1,0.87,2.068844996,-0.1655076,-0.137305548,-0.136054047
5,23,1,C,1,2-Jan,NB,-8.8,0.76,-8.669445696,0.693555656,-0.411829531,-0.396846039
5,24,1,C,1,2-Jan,NB,-6.9,0.81,-6.797633557,0.543810685,-0.194624201,-0.189001012
6,1,1,C,4,5-Apr,NB,-4.5,0.88,-4.142481505,0.33139852,-0.175357747,-0.302955442
6,2,1,C,4,5-Apr,NB,-3.3,3.02,-3.037819771,0.243025582,-0.265097193,-0.301039711
6,3,1,C,4,5-Apr,NB,-15.5,1.45,-14.26854741,1.141483793,-0.312754569,-0.334838886
6,4,1,C,4,5-Apr,NB,-7.1,1.15,-6.535915264,0.522873221,-0.217951309,-0.39104467
6,5,1,C,4,5-Apr,NB,-4.2,0.91,-3.866316072,0.309305286,-0.181897992,-0.325035374
6,6,1,C,4,5-Apr,NB,-10.6,0.81,-9.757845323,0.780627626,-0.319058731,-0.305352412
6,7,1,C,4,5-Apr,NB,-7.4,0.74,-6.812080697,0.544966456,-0.199349227,-0.250651442
6,8,1,C,4,5-Apr,NB,-10.8,1.1,-9.941955613,0.795356449,-0.243922833,-0.45023267
6,9,1,C,4,5-Apr,NB,-10.8,3.29,-9.941955613,0.795356449,-0.406367762,-0.385977986
6,10,1,C,4,5-Apr,NB,-0.9,0.95,-0.828496301,0.066279704,-0.265473611,-0.137808772
6,11,1,C,4,5-Apr,NB,-3.2,1,-2.945764626,0.23566117,-0.24567646,-0.254678561
6,12,1,C,4,5-Apr,NB,2.6,1.04,2.393433759,-0.191474701,-0.230460048,-0.220982218
6,13,1,C,4,5-Apr,NB,-2.3,0.6,-2.117268325,0.169381466,-0.084685021,-0.137496327
6,14,1,C,4,5-Apr,NB,3.7,0.6,3.406040349,-0.272483228,-0.18264012,-0.177542313
6,15,1,C,4,5-Apr,NB,-4.4,0.74,-4.050426361,0.324034109,-0.191731149,-0.172683135
6,16,1,C,4,5-Apr,NB,-2.9,0.82,-2.669599192,0.213567935,-0.146682054,-0.164228836
6,17,1,C,4,5-Apr,NB,-0.8,0.53,-0.736441156,0.058915293,-0.171175748,-0.178961265
6,18,1,C,4,5-Apr,NB,-4.8,0.87,-4.418646939,0.353491755,-0.071048044,-0.060304942
6,19,1,C,4,5-Apr,NB,-4.8,0.76,-4.418646939,0.353491755,-0.107180854,-0.109797284
6,20,1,C,4,5-Apr,NB,1.2,1.06,1.104661735,-0.088372939,-0.149515947,-0.166541636
6,21,1,C,4,5-Apr,NB,2.3,1.22,2.117268325,-0.169381466,-0.126307543,-0.134904475
6,22,1,C,4,5-Apr,NB,0.3,0.92,0.276165434,-0.022093235,-0.276394916,-0.305477117
6,23,1,C,4,5-Apr,NB,-2.8,1.19,-2.577544048,0.206203524,-0.371583005,-0.356510349
6,24,1,C,4,5-Apr,NB,-1.4,0.89,-1.288772024,0.103101762,-0.341223167,-0.237218768
7,1,1,C,6,8-Jun,SB,-8.6,0.67,-9.775267953,0.782021436,1.033079224,1.131788058
7,2,1,C,6,8-Jun,SB,11.9,0.59,13.52624287,-1.082099429,1.139271998,0.95061252
7,3,1,C,6,8-Jun,SB,-3.5,1.85,-3.978306725,0.318264538,1.313482238,1.087145145
7,4,1,C,6,8-Jun,SB,-8.3,2.05,-9.434270234,0.754741619,0.954774907,0.871795261
7,5,1,C,6,8-Jun,SB,-58.2,2,-66.15355754,5.292284603,1.15084543,1.462743122
7,6,1,C,6,8-Jun,SB,-0.2,1.36,-0.227331813,0.018186545,1.201687952,1.612063333
7,7,1,C,6,8-Jun,SB,-4.8,1.46,-5.455963509,0.436477081,0.754146889,0.706853396
7,8,1,C,6,8-Jun,SB,-0.2,1.68,-0.227331813,0.018186545,1.068055976,0.67141917
7,9,1,C,6,8-Jun,SB,-2.1,0.96,-2.386984035,0.190958723,0.675794916,0.682633526
7,10,1,C,6,8-Jun,SB,-28.7,1.54,-32.62211515,2.609769212,0.684795602,0.696260278
7,11,1,C,6,8-Jun,SB,-10.5,1.55,-11.93492018,0.954793614,0.741899961,0.699356501
