Date,Timepoint,Experiment,Chamber,Treatment,Colony,Coral,Location,Turbidity,delta_FTA,MO2
5-Jul,1,3,2,HS,3,3-8,NB,0.605,-5,
5-Jul,1,3,3,HT,6,6-1,SB,0.955,-3.4,
5-Jul,1,3,4,HX,6,6-6,SB,0.805,-5.7,
5-Jul,2,3,1,C,3,3-4,NB,0.9375,-4.3,
5-Jul,2,3,2,HS,3,3-8,NB,21.675,0.9,
5-Jul,2,3,3,HT,6,6-1,SB,1.265,10.2,
5-Jul,2,3,4,HX,6,6-6,SB,24.475,-1,
5-Jul,3,3,1,C,3,3-4,NB,0.9625,1.1,
5-Jul,3,3,2,HS,3,3-8,NB,17.65,11.1,
5-Jul,3,3,3,HT,6,6-1,SB,1.2675,-4,
5-Jul,3,3,4,HX,6,6-6,SB,20.775,0.2,
5-Jul,4,3,1,C,3,3-4,NB,0.885,3.3,
5-Jul,4,3,2,HS,3,3-8,NB,17,4.6,
5-Jul,4,3,3,HT,6,6-1,SB,1.0525,-24.5,
5-Jul,4,3,4,HX,6,6-6,SB,22.525,5.3,
5-Jul,5,3,1,C,3,3-4,NB,0.6475,-1.6,
5-Jul,5,3,2,HS,3,3-8,NB,33.15,-7.9,
5-Jul,5,3,3,NA,NA,6-1,NA,1.0675,NA,
5-Jul,5,3,4,HX,6,6-6,SB,36.125,6,
5-Jul,6,3,1,C,3,3-4,NB,1.9625,-2,
5-Jul,6,3,2,HS,3,3-8,NB,28.675,3.1,
5-Jul,6,3,3,HT,6,6-1,SB,2.33,1.4,
5-Jul,6,3,4,HX,6,6-6,SB,35.325,-3.1,
5-Jul,7,3,1,C,3,3-4,NB,1.705,-0.4,
5-Jul,7,3,2,HS,3,3-8,NB,25.175,-38.5,
5-Jul,7,3,3,HT,6,6-1,SB,2.0675,-3.4,
5-Jul,7,3,4,HX,6,6-6,SB,27.65,-5.6,
5-Jul,8,3,1,C,3,3-4,NB,1.9775,-15.7,
5-Jul,8,3,2,HS,3,3-8,NB,21.95,30.5,
5-Jul,8,3,3,HT,6,6-1,SB,2.105,-1.5,
5-Jul,8,3,4,HX,6,6-6,SB,24.5,3.1,
5-Jul,9,3,1,C,3,3-4,NB,1.145,7.5,
5-Jul,9,3,2,HS,3,3-8,NB,21.475,-1.2,
5-Jul,9,3,3,HT,6,6-1,SB,2.1675,19.6,
5-Jul,9,3,4,HX,6,6-6,SB,22.8,-3.4,
5-Jul,10,3,1,C,3,3-4,NB,0.985,13,
5-Jul,10,3,2,HS,3,3-8,NB,37.475,36.2,
5-Jul,10,3,3,HT,6,6-1,SB,2.0375,-2.5,
5-Jul,10,3,4,HX,6,6-6,SB,27.525,-7.8,
5-Jul,11,3,1,C,3,3-4,NB,1.3375,-8.5,
5-Jul,11,3,2,HS,3,3-8,NB,32.9,-13.2,
5-Jul,11,3,3,HT,6,6-1,SB,2.025,6.7,
5-Jul,11,3,4,HX,6,6-6,SB,28.875,7.2,
5-Jul,12,3,1,C,3,3-4,NB,1.1775,-3.1,
5-Jul,12,3,2,HS,3,3-8,NB,31.325,-4.1,
5-Jul,12,3,3,HT,6,6-1,SB,2.405,-3.8,
5-Jul,12,3,4,HX,6,6-6,SB,44.7,-5.4,
5-Jul,13,3,1,C,3,3-4,NB,1.2325,-2,
5-Jul,13,3,2,HS,3,3-8,NB,32.975,-14.8,
5-Jul,13,3,3,HT,6,6-1,SB,2.18,0.4,
5-Jul,13,3,4,HX,6,6-6,SB,37.2,20.5,
5-Jul,14,3,1,C,3,3-4,NB,1.145,-8.3,
5-Jul,14,3,2,HS,3,3-8,NB,25.425,-1.1,
5-Jul,14,3,3,HT,6,6-1,SB,2.47,-5.6,
5-Jul,14,3,4,HX,6,6-6,SB,36.45,-6.7,
5-Jul,15,3,1,C,3,3-4,NB,1.0625,16.8,
5-Jul,15,3,2,HS,3,3-8,NB,24.675,6.9,
5-Jul,15,3,3,HT,6,6-1,SB,2.415,27.7,
5-Jul,15,3,4,HX,6,6-6,SB,27.83333333,15.6,
5-Jul,16,3,1,C,3,3-4,NB,1.2225,0.4,
5-Jul,16,3,2,HS,3,3-8,NB,23,-2.1,
5-Jul,16,3,3,HT,6,6-1,SB,2.4025,-10.3,
5-Jul,16,3,4,HX,6,6-6,SB,26.75,0.6,
5-Jul,17,3,1,C,3,3-4,NB,1.07,7.8,
5-Jul,17,3,2,HS,3,3-8,NB,21.625,-22.2,
5-Jul,17,3,3,HT,6,6-1,SB,2.29,-4.2,
5-Jul,17,3,4,HX,6,6-6,SB,22.95,20.3,
6-Jul,18,3,1,C,3,3-4,NB,0.8925,2.6,
6-Jul,18,3,2,HS,3,3-8,NB,30.25,-28,
6-Jul,18,3,3,HT,6,6-1,SB,2.2,-7,
6-Jul,18,3,4,HX,6,6-6,SB,25.275,-1.3,
6-Jul,19,3,1,C,3,3-4,NB,1.6275,2.9,
6-Jul,19,3,2,HS,3,3-8,NB,25.575,54.6,
6-Jul,19,3,3,HT,6,6-1,SB,2.3875,-6.2,
6-Jul,19,3,4,HX,6,6-6,SB,24,-8.5,
6-Jul,20,3,1,C,3,3-4,NB,2.075,-15.8,
6-Jul,20,3,2,HS,3,3-8,NB,22.275,-51.6,
6-Jul,20,3,3,HT,6,6-1,SB,4.1075,-20.4,
6-Jul,20,3,4,HX,6,6-6,SB,21,50.6,
6-Jul,21,3,1,C,3,3-4,NB,1.43,-0.9,
6-Jul,21,3,2,HS,3,3-8,NB,19.525,-50.9,
6-Jul,21,3,3,HT,6,6-1,SB,3.105,13.8,
6-Jul,21,3,4,HX,6,6-6,SB,29.675,-7.7,
6-Jul,22,3,1,C,3,3-4,NB,1.525,5.4,
6-Jul,22,3,2,HS,3,3-8,NB,18.525,2.2,
6-Jul,22,3,3,HT,6,6-1,SB,2.9125,-9.6,
6-Jul,22,3,4,HX,6,6-6,SB,25.6,-22.1,
6-Jul,23,3,1,C,3,3-4,NB,1.4525,11.2,
6-Jul,23,3,2,HS,3,3-8,NB,21.075,25.2,
6-Jul,23,3,3,HT,6,6-1,SB,3.74,-4.5,
6-Jul,23,3,4,HX,6,6-6,SB,27.275,-25.8,
6-Jul,24,3,1,C,3,3-4,NB,1.565,7.6,
6-Jul,24,3,2,HS,3,3-8,NB,20.525,18.3,
6-Jul,24,3,3,HT,6,6-1,SB,4.24,5.4,
6-Jul,24,3,4,HX,6,6-6,SB,27.95,8.2,
7-Jul,1,4,1,C,2,2-8,NB,1.52,20.9,
7-Jul,1,4,2,HS,2,2-9,NB,2.005,0.2,
7-Jul,1,4,3,HT,7,7-9,SB,1.46,0.6,
7-Jul,1,4,4,HX,7,7-7,SB,2.3175,4,
7-Jul,2,4,1,C,2,2-8,NB,1.36,1.3,
7-Jul,2,4,2,HS,2,2-9,NB,53.225,18.7,
7-Jul,2,4,3,HT,7,7-9,SB,1.555,-6.9,
7-Jul,2,4,4,HX,7,7-7,SB,52.275,9.7,
7-Jul,3,4,1,C,2,2-8,NB,3.4625,-0.5,
7-Jul,3,4,2,HS,2,2-9,NB,49.975,-4.9,
7-Jul,3,4,3,HT,7,7-9,SB,3.9775,-1.2,
7-Jul,3,4,4,HX,7,7-7,SB,55.775,6.8,
7-Jul,4,4,1,C,2,2-8,NB,4.175,-20.6,
7-Jul,4,4,2,HS,2,2-9,NB,52.85,-4.1,
7-Jul,4,4,3,HT,7,7-9,SB,5.0925,2.2,
7-Jul,4,4,4,HX,7,7-7,SB,56.05,1.3,
7-Jul,5,4,1,C,2,2-8,NB,3.485,19.6,
7-Jul,5,4,2,HS,2,2-9,NB,51.375,5.1,
7-Jul,5,4,3,HT,7,7-9,SB,4.3525,36.9,
7-Jul,5,4,4,HX,7,7-7,SB,55.775,5.7,
7-Jul,6,4,1,C,2,2-8,NB,2.33,0,
7-Jul,6,4,2,HS,2,2-9,NB,42.55,-35.5,
7-Jul,6,4,3,HT,7,7-9,SB,2.82,0,
7-Jul,6,4,4,HX,7,7-7,SB,44.85,-40.1,
7-Jul,7,4,1,C,2,2-8,NB,2.53,0.5,
7-Jul,7,4,2,HS,2,2-9,NB,43.6,-34.7,
7-Jul,7,4,3,HT,7,7-9,SB,2.73,-11.1,
7-Jul,7,4,4,HX,7,7-7,SB,44.125,2.1,
7-Jul,8,4,1,C,2,2-8,NB,2.5675,1.7,
7-Jul,8,4,2,HS,2,2-9,NB,36.425,6.6,
7-Jul,8,4,3,HT,7,7-9,SB,2.62,10.8,
7-Jul,8,4,4,HX,7,7-7,SB,36.175,-4.3,
7-Jul,9,4,1,C,2,2-8,NB,1.9225,6.8,
7-Jul,9,4,2,HS,2,2-9,NB,32.9,-5.4,
7-Jul,9,4,3,HT,7,7-9,SB,2.41,-3.8,
7-Jul,9,4,4,HX,7,7-7,SB,34.475,5,
7-Jul,10,4,1,C,2,2-8,NB,1.92,-3.4,
7-Jul,10,4,2,HS,2,2-9,NB,32.1,1.4,
7-Jul,10,4,3,HT,7,7-9,SB,1.475,3.1,
7-Jul,10,4,4,HX,7,7-7,SB,32.975,9.2,
7-Jul,11,4,1,C,2,2-8,NB,1.8425,-0.8,
7-Jul,11,4,2,HS,2,2-9,NB,27.6,8.8,
7-Jul,11,4,3,HT,7,7-9,SB,2.1825,3.1,
7-Jul,11,4,4,HX,7,7-7,SB,31.25,26.4,
7-Jul,12,4,1,C,2,2-8,NB,1.57,7.1,
7-Jul,12,4,2,HS,2,2-9,NB,28.175,-5.5,
7-Jul,12,4,3,HT,7,7-9,SB,1.8125,6.4,
7-Jul,12,4,4,HX,7,7-7,SB,27.075,-1.6,
7-Jul,13,4,1,C,2,2-8,NB,1.9625,11.5,
7-Jul,13,4,2,HS,2,2-9,NB,24.825,13.9,
7-Jul,13,4,3,HT,7,7-9,SB,1.8225,0.1,
7-Jul,13,4,4,HX,7,7-7,SB,24.175,0.1,
7-Jul,14,4,1,C,2,2-8,NB,2.1225,-0.2,
7-Jul,14,4,2,HS,2,2-9,NB,23.425,-34.8,
7-Jul,14,4,3,HT,7,7-9,SB,1.33,6.4,
7-Jul,14,4,4,HX,7,7-7,SB,19.575,1.9,
7-Jul,15,4,1,C,2,2-8,NB,1.52,-1.4,
7-Jul,15,4,2,HS,2,2-9,NB,18.7,-8,
7-Jul,15,4,3,HT,7,7-9,SB,1.45,-18,
7-Jul,15,4,4,HX,7,7-7,SB,17.975,-8,
7-Jul,16,4,1,C,2,2-8,NB,1.455,-1.9,
7-Jul,16,4,2,HS,2,2-9,NB,17.825,-1.7,
7-Jul,16,4,3,HT,7,7-9,SB,1.615,-15.3,
7-Jul,16,4,4,HX,7,7-7,SB,18.6,-0.1,
7-Jul,17,4,1,C,2,2-8,NB,1.39,-6.1,
7-Jul,17,4,2,HS,2,2-9,NB,14.975,-41.6,
7-Jul,17,4,3,HT,7,7-9,SB,1.5375,-3.8,
7-Jul,17,4,4,HX,7,7-7,SB,16.925,-18.9,
7-Jul,18,4,1,C,2,2-8,NB,1.22,-10.4,
7-Jul,18,4,2,HS,2,2-9,NB,13.85,29.3,
7-Jul,18,4,3,HT,7,7-9,SB,1.643333333,2.2,
7-Jul,18,4,4,HX,7,7-7,SB,15.6,0.1,
7-Jul,19,4,1,C,2,2-8,NB,0.7425,-9.3,
7-Jul,19,4,2,HS,2,2-9,NB,9.505,-35,
7-Jul,19,4,3,HT,7,7-9,SB,1.1075,9.9,
7-Jul,19,4,4,HX,7,7-7,SB,12.75,-3.5,
7-Jul,20,4,1,C,2,2-8,NB,1.08,-3.5,
7-Jul,20,4,2,HS,2,2-9,NB,9.685,-0.4,
7-Jul,20,4,3,HT,7,7-9,SB,1.0775,-20,
7-Jul,20,4,4,HX,7,7-7,SB,8.765,-28.7,
7-Jul,21,4,1,C,2,2-8,NB,0.805,-2.8,
7-Jul,21,4,2,HS,2,2-9,NB,7.7675,-3.5,
7-Jul,21,4,3,HT,7,7-9,SB,0.9975,-0.4,
7-Jul,21,4,4,HX,7,7-7,SB,9.33,-0.2,
7-Jul,22,4,1,C,2,2-8,NB,1.0575,4,
7-Jul,22,4,2,HS,2,2-9,NB,7.15,-4.2,
7-Jul,22,4,3,HT,7,7-9,SB,1.12,-7.4,
7-Jul,22,4,4,HX,7,7-7,SB,10.17,11.4,
7-Jul,23,4,1,C,2,2-8,NB,0.8825,-15.8,
7-Jul,23,4,2,HS,2,2-9,NB,6.3575,-1.7,
7-Jul,23,4,3,HT,7,7-9,SB,1.335,-9.8,
7-Jul,23,4,4,HX,7,7-7,SB,8.675,0.1,
7-Jul,24,4,1,C,2,2-8,NB,0.875,-6.4,
7-Jul,24,4,2,HS,2,2-9,NB,6.385,0.9,
7-Jul,24,4,3,HT,7,7-9,SB,1.3625,2.3,
7-Jul,24,4,4,HX,7,7-7,SB,10.13333333,-7,
12-Jul,1,5,1,C,1,1-2,NB,0.515,-6.9,
12-Jul,1,5,2,HS,1,1-1,NB,0.9725,40.7,
12-Jul,1,5,3,HT,5,5-4,SB,0.735,6.2,
12-Jul,1,5,4,HX,5,5-7,SB,1.915,64.2,
12-Jul,2,5,1,C,1,1-2,NB,0.5675,2.3,
12-Jul,2,5,2,HS,1,1-1,NB,47.275,12.1,
12-Jul,2,5,3,HT,5,5-4,SB,0.815,-1.2,
12-Jul,2,5,4,HX,5,5-7,SB,69.775,-2.3,
12-Jul,3,5,1,C,1,1-2,NB,1.29,-0.5,
12-Jul,3,5,2,HS,1,1-1,NB,42.675,4.2,
12-Jul,3,5,3,HT,5,5-4,SB,1.145,3.9,
12-Jul,3,5,4,HX,5,5-7,SB,70.425,1.2,
12-Jul,4,5,1,C,1,1-2,NB,1.1575,-9.7,
12-Jul,4,5,2,HS,1,1-1,NB,49.975,-4.6,
12-Jul,4,5,3,HT,5,5-4,SB,1.5175,-7.3,
12-Jul,4,5,4,HX,5,5-7,SB,58.6,-3,
12-Jul,5,5,1,C,1,1-2,NB,1.9,3.2,
12-Jul,5,5,2,HS,1,1-1,NB,52.7,10.7,
12-Jul,5,5,3,HT,5,5-4,SB,1.6925,-4.3,
12-Jul,5,5,4,HX,5,5-7,SB,55.475,-1.3,
12-Jul,6,5,1,C,1,1-2,NB,1.615,1.3,
