Sample,Experiment,Timepoint,Chamber,Treatment,Colony,Coral,Location,delta_FTA,Chamber Volume (mL),Coral Dry Weight (g),Incubation Time (min),Gnet,Gnet2,Turbidity
W15S,2,8,1,C,5,9-May,SB,2.2,450,22.6072,12,1872.080576,-2.496107435,
W17S,2,9,1,C,5,9-May,SB,3.7,450,22.6072,12,3148.499151,-4.197998868,
W19S,2,10,1,C,5,9-May,SB,-7.7,450,22.6072,12,-6552.282016,8.736376022,
W21S,2,11,1,C,5,9-May,SB,9.5,450,22.6072,12,8083.984306,-10.77864574,
W23S,2,12,1,C,5,9-May,SB,-4.5,450,22.6072,12,-3829.255724,5.105674298,
W1S,2,13,1,C,5,9-May,SB,-24.9,450,22.6072,12,-21188.54834,28.25139778,
W3S,2,14,1,C,5,9-May,SB,11.1,450,22.6072,12,9445.497452,-12.5939966,
W5S,2,15,1,C,5,9-May,SB,1.7,450,22.6072,12,1446.607718,-1.928810291,
W7S,2,16,1,C,5,9-May,SB,14.6,450,22.6072,12,12423.80746,-16.56507661,
W9S,2,17,1,C,5,9-May,SB,-0.4,450,22.6072,12,-340.3782866,0.453837715,
W11S,2,18,1,C,5,9-May,SB,-5.6,450,22.6072,12,-4765.296012,6.353728016,
W13S,2,19,1,C,5,9-May,SB,-8.4,450,22.6072,12,-7147.944018,9.530592024,
W15S,2,20,1,C,5,9-May,SB,4.8,450,22.6072,12,4084.539439,-5.446052585,
W17S,2,21,1,C,5,9-May,SB,8.7,450,22.6072,12,7403.227733,-9.87097031,
W19S,2,22,1,C,5,9-May,SB,7.8,450,22.6072,12,6637.376588,-8.849835451,
W21S,2,23,1,C,5,9-May,SB,-81.2,450,22.6072,12,-69096.79217,92.12905623,
W23S,2,24,1,C,5,9-May,SB,1.6,450,22.6072,12,1361.513146,-1.815350862,
W1S,2,25,1,C,5,9-May,SB,-0.6,450,22.6072,12,-510.5674298,0.680756573,
R1S,2,1,2,C,6,4-Jun,SB,-20.3,450,10.2718,12,-38018.7747,50.6916996,
R3S,2,2,2,C,6,4-Jun,SB,7.2,450,10.2718,12,13484.49152,-17.97932203,
R5S,2,3,2,C,6,4-Jun,SB,-1.6,450,10.2718,12,-2996.553671,3.995404895,
R7S,2,4,2,C,6,4-Jun,SB,-1.1,450,10.2718,12,-2060.130649,2.746840865,
R9S,2,5,2,C,6,4-Jun,SB,4.9,450,10.2718,12,9176.945618,-12.23592749,
R11S,2,6,2,C,6,4-Jun,SB,-7.9,450,10.2718,12,-14795.48375,19.72731167,
R13S,2,7,2,C,6,4-Jun,SB,32.2,450,10.2718,12,60305.64263,-80.40752351,
R15S,2,8,2,C,6,4-Jun,SB,3.1,450,10.2718,12,5805.822738,-7.741096984,
R17S,2,9,2,C,6,4-Jun,SB,-7.4,450,10.2718,12,-13859.06073,18.47874764,
R19S,2,10,2,C,6,4-Jun,SB,8.2,450,10.2718,12,15357.33756,-20.47645009,
R21S,2,11,2,C,6,4-Jun,SB,-2.7,450,10.2718,12,-5056.68432,6.74224576,
R23S,2,12,2,C,6,4-Jun,SB,11.8,450,10.2718,12,22099.58333,-29.4661111,
R1S,2,13,2,C,6,4-Jun,SB,-2.3,450,10.2718,12,-4307.545902,5.743394536,
R3S,2,14,2,C,6,4-Jun,SB,6.6,450,10.2718,12,12360.78389,-16.48104519,
R5S,2,15,2,C,6,4-Jun,SB,-31.6,450,10.2718,12,-59181.93501,78.90924668,
R7S,2,16,2,C,6,4-Jun,SB,39.3,450,10.2718,12,73602.84955,-98.13713273,
R9S,2,17,2,C,6,4-Jun,SB,-5.6,450,10.2718,12,-10487.93785,13.98391713,
R11S,2,18,2,C,6,4-Jun,SB,-3.6,450,10.2718,12,-6742.24576,8.989661014,
R13S,2,19,2,C,6,4-Jun,SB,-29.2,450,10.2718,12,-54687.1045,72.91613933,
R15S,2,20,2,C,6,4-Jun,SB,-3.2,450,10.2718,12,-5993.107342,7.99080979,
R17S,2,21,2,C,6,4-Jun,SB,6.6,450,10.2718,12,12360.78389,-16.48104519,
R19S,2,22,2,C,6,4-Jun,SB,-27.2,450,10.2718,12,-50941.41241,67.92188321,
R21S,2,23,2,C,6,4-Jun,SB,-9.8,450,10.2718,12,-18353.89124,24.47185498,
R23S,2,24,2,C,6,4-Jun,SB,8.8,450,10.2718,12,16481.04519,-21.97472692,
R1S,2,25,2,C,6,4-Jun,SB,-5,450,10.2718,12,-9364.230223,12.4856403,
G1S,2,1,3,C,7,4-Jul,SB,-11.9,450,12.3046,12,-18604.9323,24.8065764,
G3S,2,2,3,C,7,4-Jul,SB,-3.3,450,12.3046,12,-5159.350974,6.879134633,
G5S,2,3,3,C,7,4-Jul,SB,2.5,450,12.3046,12,3908.599223,-5.211465631,
G7S,2,4,3,C,7,4-Jul,SB,0,450,12.3046,12,0,0,
G9S,2,5,3,C,7,4-Jul,SB,-1.4,450,12.3046,12,-2188.815565,2.918420753,
G11S,2,6,3,C,7,4-Jul,SB,7.1,450,12.3046,12,11100.42179,-14.80056239,
G13S,2,7,3,C,7,4-Jul,SB,3.4,450,12.3046,12,5315.694943,-7.087593258,
G15S,2,8,3,C,7,4-Jul,SB,6.6,450,12.3046,12,10318.70195,-13.75826927,
G17S,2,9,3,C,7,4-Jul,SB,2,450,12.3046,12,3126.879378,-4.169172505,
G19S,2,10,3,C,7,4-Jul,SB,4.4,450,12.3046,12,6879.134633,-9.17217951,
G21S,2,11,3,C,7,4-Jul,SB,-7,450,12.3046,12,-10944.07782,14.59210377,
G23S,2,12,3,C,7,4-Jul,SB,-0.1,450,12.3046,12,-156.3439689,0.208458625,
G1S,2,13,3,C,7,4-Jul,SB,-0.2,450,12.3046,12,-312.6879378,0.41691725,
G3S,2,14,3,C,7,4-Jul,SB,-7.8,450,12.3046,12,-12194.82958,16.25977277,
G5S,2,15,3,C,7,4-Jul,SB,0.2,450,12.3046,12,312.6879378,-0.41691725,
G7S,2,16,3,C,7,4-Jul,SB,-0.8,450,12.3046,12,-1250.751751,1.667669002,
G9S,2,17,3,C,7,4-Jul,SB,3.5,450,12.3046,12,5472.038912,-7.296051883,
G11S,2,18,3,C,7,4-Jul,SB,-2.9,450,12.3046,12,-4533.975099,6.045300132,
G13S,2,19,3,C,7,4-Jul,SB,-0.2,450,12.3046,12,-312.6879378,0.41691725,
G15S,2,20,3,C,7,4-Jul,SB,-1.3,450,12.3046,12,-2032.471596,2.709962128,
G17S,2,21,3,C,7,4-Jul,SB,5.2,450,12.3046,12,8129.886384,-10.83984851,
G19S,2,22,3,C,7,4-Jul,SB,-13.5,450,12.3046,12,-21106.4358,28.14191441,
G21S,2,23,3,C,7,4-Jul,SB,2.6,450,12.3046,12,4064.943192,-5.419924256,
G23S,2,24,3,C,7,4-Jul,SB,0.6,450,12.3046,12,938.0638135,-1.250751751,
G1S,2,25,3,C,7,4-Jul,SB,-11,450,12.3046,12,-17197.83658,22.93044878,
Y1S,2,1,4,C,8,2-Aug,SB,2.5,450,10.0408,12,4789.832483,-6.386443311,
Y3S,2,2,4,C,8,2-Aug,SB,-3.2,450,10.0408,12,-6130.985579,8.174647438,
Y5S,2,3,4,C,8,2-Aug,SB,-2.8,450,10.0408,12,-5364.612381,7.152816509,
Y7S,2,4,4,C,8,2-Aug,SB,1,450,10.0408,12,1915.932993,-2.554577325,
