Date,Chamber,Time,Phase,Temp,Salinity,DO ,pH,Light,Notes
,3,,,29.4,32.02,89.1,7.99,,
,4,,,29.6,32.08,83.5,7.98,,
4-Aug,1,710,,26.9,31.24,87.9,7.99,,after sediment 287
,2,,,26.6,31.52,83.7,7.96,289,289
,3,,,29.2,31.48,89.5,7.97,292,292
,4,,,29.3,31.28,80.4,7.99,287,287
5-Aug,1,1445,,27.6,30.88,92.9,7.96,311,set up exp 16! 311
,2,,,27.4,31.37,85.3,7.96,306,306
,3,,,27.5,31.39,87.4,7.95,302,302
,4,,,27.4,30.82,88.2,7.96,275,275
5-Aug,1,1706,,27.1,31.58,98.2,8.04,,
,2,,,26.9,31.49,88.6,8.02,,
,3,,,28.8,31.5,80.9,7.98,,
,4,,,28.7,31.61,85.4,8.01,,
6-Aug,1,709,,27.1,31.27,92.4,8.07,,start exp 16! Before sed
,2,,,26.9,31.81,86.4,8.07,,
,3,,,29.2,31.29,83.2,8,,
,4,,,29.7,32.11,82.4,8.05,,
6-Aug,1,746,,27.1,31.31,95.3,8.1,300,after sed 300
,2,,,27,31.17,90.3,8.07,292,292
,3,,,29.8,31.3,85,8,309,309
,4,,,29.8,31.3,84.8,8.04,308,308
7-Aug,1,1304,,27.5,31.46,91.7,8.01,294,setting up exp 7! 294
,2,,,27.2,31.32,87.7,8,279,279
,3,,,28.1,31.52,90.7,7.95,282,282
,4,,,28.1,31.31,83.8,7.94,264,264
8-Aug,1,716,,27.1,31.53,91.5,8.09,,
,2,,,27,31.78,85.1,8.04,,
,3,,,28.8,31.46,89.8,8.04,,
,4,,,29.1,31.9,84.2,8.02,,
8-Aug,1,745,,27.1,31.56,103,8.08,277,exp 17 after sed! 277
,2,,,26.9,31.16,90.3,8.02,282,282
,3,,,30.2,31.51,89.8,8.04,285,285
,4,,,29.8,31.44,85.8,8.02,284,284
10-Aug,1,952,,27.2,31.4,93.6,7.98,,setting up last exp :)
,2,,,27.2,31.29,84.3,7.95,,
,3,,,26,31.4,91.1,7.95,,
,4,,,26.1,31.47,81.5,7.95,,
10-Aug,1,1630,,27.1,31.61,94.7,8.05,283,283
,2,,,27.1,31.6,87.1,8.02,320,320
,3,,,30.2,31.72,79.8,8,317,317
,4,,,29,31.75,83.5,7.95,288,288
11-Aug,1,717,,27,31.97,92.9,8.09,,before sed
,2,,,27.1,31.98,87.4,8.05,,
,3,,,30.4,32.26,83,8.05,,
,4,,,30.2,32.16,80.5,8.01,,
11-Aug,1,731,,26.9,31.51,89.2,8.04,308,after sed 308
,2,,,26.8,31.44,86.2,8,327,327
,3,,,30,31.44,87.7,8.01,321,321
,4,,,30.2,31.54,81.5,7.88,324,324
